,Instrument,Date,Time,Open,High,Low,Close
6085,NIFTY,2012-03-19 12:00:00,12:00,5290.05,5292.85,5290.05,5292.7
6086,NIFTY,2012-03-19 13:00:00,13:00,5268.45,5270.05,5268.4,5269.8
6087,NIFTY,2012-03-19 14:00:00,14:00,5255.55,5257.75,5255.3,5257.3
6088,NIFTY,2012-03-19 15:00:00,15:00,5263.6,5263.6,5257.0,5257.45
6089,NIFTY,2012-03-20 10:00:00,10:00,5290.25,5290.6,5287.85,5288.4
6090,NIFTY,2012-03-20 11:00:00,11:00,5276.75,5277.45,5274.8,5275.0
6091,NIFTY,2012-03-20 12:00:00,12:00,5273.6,5277.85,5273.25,5277.85
6092,NIFTY,2012-03-20 13:00:00,13:00,5255.45,5259.2,5254.65,5258.95
6093,NIFTY,2012-03-20 14:00:00,14:00,5281.35,5283.15,5279.5,5279.55
6094,NIFTY,2012-03-20 15:00:00,15:00,5277.8,5283.3,5277.45,5282.45
6095,NIFTY,2012-03-21 10:00:00,10:00,5267.4,5269.05,5267.1,5268.0
6096,NIFTY,2012-03-21 11:00:00,11:00,5272.8,5275.6,5272.45,5275.6
6097,NIFTY,2012-03-21 12:00:00,12:00,5286.65,5288.0,5286.3,5286.4
6098,NIFTY,2012-03-21 13:00:00,13:00,5315.2,5316.5,5314.7,5316.5
6099,NIFTY,2012-03-21 14:00:00,14:00,5341.35,5341.7,5340.95,5341.5
6100,NIFTY,2012-03-21 15:00:00,15:00,5348.2,5350.05,5348.2,5349.1
6101,NIFTY,2012-03-22 10:00:00,10:00,5352.0,5354.55,5352.0,5354.1
6102,NIFTY,2012-03-22 11:00:00,11:00,5380.5,5380.55,5379.8,5380.15
6103,NIFTY,2012-03-22 12:00:00,12:00,5351.9,5353.1,5351.9,5352.75
6104,NIFTY,2012-03-22 13:00:00,13:00,5350.85,5351.35,5350.2,5350.2
6105,NIFTY,2012-03-22 14:00:00,14:00,5336.15,5336.15,5320.25,5320.25
6106,NIFTY,2012-03-22 15:00:00,15:00,5254.15,5256.55,5252.7,5256.05
6107,NIFTY,2012-03-23 10:00:00,10:00,5258.95,5260.35,5256.7,5259.4
6108,NIFTY,2012-03-23 11:00:00,11:00,5243.35,5248.7,5243.15,5248.45
6109,NIFTY,2012-03-23 12:00:00,12:00,5247.7,5247.9,5247.0,5247.75
6110,NIFTY,2012-03-23 13:00:00,13:00,5265.65,5266.8,5265.1,5266.2
6111,NIFTY,2012-03-23 14:00:00,14:00,5263.7,5267.9,5263.55,5267.75
6112,NIFTY,2012-03-23 15:00:00,15:00,5275.1,5277.95,5275.05,5275.65
6113,NIFTY,2012-03-26 10:00:00,10:00,5220.25,5220.25,5216.25,5216.25
6114,NIFTY,2012-03-26 11:00:00,11:00,5211.05,5211.2,5209.3,5209.9
6115,NIFTY,2012-03-26 12:00:00,12:00,5190.4,5193.15,5190.3,5193.15
6116,NIFTY,2012-03-26 13:00:00,13:00,5203.75,5205.95,5202.2,5205.75
6117,NIFTY,2012-03-26 14:00:00,14:00,5202.7,5203.6,5202.5,5203.4
6118,NIFTY,2012-03-26 15:00:00,15:00,5181.4,5183.35,5181.35,5183.15
6119,NIFTY,2012-03-27 10:00:00,10:00,5203.8,5204.05,5196.4,5197.05
6120,NIFTY,2012-03-27 11:00:00,11:00,5224.3,5224.85,5222.3,5222.4
6121,NIFTY,2012-03-27 12:00:00,12:00,5212.95,5213.1,5208.2,5208.8
6122,NIFTY,2012-03-27 13:00:00,13:00,5199.5,5202.2,5198.9,5201.75
6123,NIFTY,2012-03-27 14:00:00,14:00,5256.25,5256.6,5252.05,5252.2
6124,NIFTY,2012-03-27 15:00:00,15:00,5228.15,5229.85,5227.5,5227.5
6125,NIFTY,2012-03-28 10:00:00,10:00,5210.1,5211.75,5209.9,5211.75
6126,NIFTY,2012-03-28 11:00:00,11:00,5225.25,5227.05,5225.25,5225.4
6127,NIFTY,2012-03-28 12:00:00,12:00,5213.95,5215.7,5213.8,5215.7
6128,NIFTY,2012-03-28 13:00:00,13:00,5216.7,5217.9,5216.65,5217.75
6129,NIFTY,2012-03-28 14:00:00,14:00,5205.25,5209.7,5205.25,5209.7
6130,NIFTY,2012-03-28 15:00:00,15:00,5184.45,5184.5,5181.6,5182.35
6131,NIFTY,2012-03-29 10:00:00,10:00,5152.8,5153.3,5150.6,5152.45
6132,NIFTY,2012-03-29 11:00:00,11:00,5164.75,5166.4,5163.6,5163.6
6133,NIFTY,2012-03-29 12:00:00,12:00,5156.2,5156.9,5155.5,5156.3
6134,NIFTY,2012-03-29 13:00:00,13:00,5144.9,5146.8,5144.4,5146.6
6135,NIFTY,2012-03-29 14:00:00,14:00,5162.95,5163.1,5161.15,5161.15
6136,NIFTY,2012-03-29 15:00:00,15:00,5171.35,5172.8,5170.8,5171.8
6137,NIFTY,2012-03-30 10:00:00,10:00,5237.55,5238.3,5237.0,5238.05
6138,NIFTY,2012-03-30 11:00:00,11:00,5257.3,5258.7,5256.5,5256.5
6139,NIFTY,2012-03-30 12:00:00,12:00,5249.8,5251.0,5249.2,5249.8
6140,NIFTY,2012-03-30 13:00:00,13:00,5271.65,5273.0,5271.25,5271.85
